game_id,away_team,home_team,game_date,snap1_time,snap2_time,ml_away_open,ml_away_now,ml_away_move,ml_home_open,ml_home_now,ml_home_move,total_open,total_now,total_move,ml_signal,total_signal,sharp_side,timestamp
d97433d24ce14d05b02b695c3cb6d537,Tampa Bay Rays,Pittsburgh Pirates,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,-23,-111,-88.0,-114,-70,44.0,8,8,0.0,STEAM,STABLE,Tampa Bay Rays,2026-04-19 13:39:45
1048fb9b5524c70651232a93456ec26c,San Francisco Giants,Washington Nationals,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,-152,-143,9.0,129,114,-15.0,8,8,0.0,STEAM,STABLE,Washington Nationals,2026-04-19 13:39:45
4c4e3a56911954f45c048e7f6a7f4822,Baltimore Orioles,Cleveland Guardians,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,20,102,82.0,-117,-120,-3.0,7,7,0.0,STEAM,STABLE,Cleveland Guardians,2026-04-19 13:39:45
9ac64069558fef330a70fa14356058dc,Milwaukee Brewers,Miami Marlins,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,-119,-64,55.0,61,-114,-175.0,8,8,0.0,STEAM,STABLE,Miami Marlins,2026-04-19 13:39:45
bc5456b82441dbb9bd569ac5bfd0ab07,Kansas City Royals,New York Yankees,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,129,129,0.0,-152,-152,0.0,8,8,0.0,STABLE,STABLE,,2026-04-19 13:39:45
de5baa6a9b1b0c7a10c628770ffff6ff,Cincinnati Reds,Minnesota Twins,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,107,-21,-128.0,-125,-116,9.0,8,8,0.0,STEAM,STABLE,Cincinnati Reds,2026-04-19 13:39:45
045dc8de81396e0de88fa0884e58750f,St. Louis Cardinals,Houston Astros,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,125,121,-4.0,-147,-142,5.0,8,9,1.0,DRIFT,STABLE,St. Louis Cardinals,2026-04-19 13:39:45
6d654c503d52995cf1547c4bc56ba827,New York Mets,Chicago Cubs,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,111,119,8.0,-130,-140,-10.0,8,8,0.0,STEAM,STABLE,Chicago Cubs,2026-04-19 13:39:45
72f3eee98d3f21414ef8f55962b0364f,Los Angeles Dodgers,Colorado Rockies,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,-285,-228,57.0,233,190,-43.0,12,12,0.0,STEAM,STABLE,Colorado Rockies,2026-04-19 13:39:45
bf75db04c73633ad4f6241bd5ae2d3eb,Chicago White Sox,Athletics,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,132,132,0.0,-156,-157,-1.0,9,9,0.0,STABLE,STABLE,,2026-04-19 13:39:45
e1d026d4b97697ac7e0862b37a1e26a5,San Diego Padres,Los Angeles Angels,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,-116,-132,-16.0,-22,72,94.0,8,9,1.0,STEAM,STABLE,San Diego Padres,2026-04-19 13:39:45
0e8cd1402139869a8535c9d0d09acb45,Toronto Blue Jays,Arizona Diamondbacks,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,-109,-111,-2.0,-108,-106,2.0,8,8,0.0,STABLE,STABLE,,2026-04-19 13:39:45
22dc10f0ffdfd73bd79c7bdf5266e95f,Texas Rangers,Seattle Mariners,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,126,119,-7.0,-148,-140,8.0,7,7,0.0,DRIFT,STABLE,Texas Rangers,2026-04-19 13:39:45
77c097e15cdac31a63aa34c4a10c9c91,Detroit Tigers,Boston Red Sox,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,121,127,6.0,-143,-149,-6.0,7,7,0.0,DRIFT,STABLE,Boston Red Sox,2026-04-19 13:39:45
0d7765b227447b5fb746d1178be90177,Atlanta Braves,Philadelphia Phillies,2026-04-19,2026-04-19T12:58:06Z,2026-04-19T17:39:45Z,102,19,-83.0,-120,-117,3.0,8,8,0.0,STEAM,STABLE,Atlanta Braves,2026-04-19 13:39:45
