date,game,type,label,conf,tier,reasoning
2026-04-20,Houston Astros @ Cleveland Guardians,TOTAL,OVER 7.0,0.74,LOCK,Model projects 9.2 runs vs 7.0 line (2.2 run edge)
2026-04-20,Philadelphia Phillies @ Chicago Cubs,TOTAL,OVER 8.0,0.74,LOCK,Model projects 10.8 runs vs 8.0 line (2.8 run edge)
2026-04-20,Detroit Tigers @ Boston Red Sox,TOTAL,UNDER 10.0,0.7171,LOCK,Model projects 8.5 runs vs 10.0 line (1.5 run edge)
2026-04-20,Houston Astros @ Cleveland Guardians,ML,Cleveland Guardians ML,0.7126,LOCK,Away SP TBD vs Slade Cecconi ERA 4.44 [NEUTRAL] | Recent: Houston Astros 4.0 RPG (29% W) | Cleveland Guardians 5.3 RPG (57% W) | 💰 STEAM: Sharp $ on Cleveland Guardians (WITH model) | Line: Houston Astros +102 | Cleveland Guardians -120
2026-04-20,St. Louis Cardinals @ Miami Marlins,TOTAL,OVER 8.0,0.6929,LOCK,Model projects 9.3 runs vs 8.0 line (1.3 run edge) | Pitcher-friendly park (factor 96.0)
2026-04-20,Atlanta Braves @ Washington Nationals,TOTAL,OVER 8.0,0.6743,STRONG,Model projects 9.2 runs vs 8.0 line (1.2 run edge)
2026-04-20,Toronto Blue Jays @ Los Angeles Angels,TOTAL,OVER 8.3,0.67,STRONG,Model projects 9.5 runs vs 8.3 line (1.2 run edge)
2026-04-20,Philadelphia Phillies @ Chicago Cubs,ML,Chicago Cubs ML,0.6603,STRONG,Recent: Philadelphia Phillies 3.7 RPG (17% W) | Chicago Cubs 7.7 RPG (83% W) | 💰 STEAM: Sharp $ on Philadelphia Phillies (AGAINST model) | Line: Philadelphia Phillies -106 | Chicago Cubs -112
2026-04-20,Los Angeles Dodgers @ Colorado Rockies,ML,Los Angeles Dodgers ML,0.6469,STRONG,Justin Wrobleski ERA 6.04 [HOT] vs Jose Quintana ERA 4.30 [COLD] | Recent: Los Angeles Dodgers 5.0 RPG (67% W) | Colorado Rockies 4.0 RPG (50% W) | Hitter park (117.0)
2026-04-20,Cincinnati Reds @ Tampa Bay Rays,ML,Cincinnati Reds ML,0.6372,STRONG,Rhett Lowder ERA 1.35 [NEUTRAL] (home SP TBD) | Recent: Cincinnati Reds 4.0 RPG (83% W) | Tampa Bay Rays 5.5 RPG (67% W) | Line: Cincinnati Reds +102 | Tampa Bay Rays -120 | Pitcher park (96.0)
2026-04-20,Baltimore Orioles @ Kansas City Royals,TOTAL,UNDER 9.0,0.6371,STRONG,Model projects 8.0 runs vs 9.0 line (1.0 run edge)
2026-04-20,Atlanta Braves @ Washington Nationals,ML,Atlanta Braves ML,0.6336,STRONG,Recent: Atlanta Braves 5.3 RPG (83% W) | Washington Nationals 4.6 RPG (43% W) | Line: Atlanta Braves -159 | Washington Nationals +135
2026-04-20,Los Angeles Dodgers @ Colorado Rockies,TOTAL,OVER 9.9,0.6271,STRONG,Model projects 10.8 runs vs 9.9 line (0.9 run edge) | Coors-level hitter park (factor 117.0) | Weak pitching matchup (avg ERA 5.17)
2026-04-20,Cincinnati Reds @ Tampa Bay Rays,TOTAL,UNDER 8.0,0.6257,STRONG,Model projects 7.1 runs vs 8.0 line (0.9 run edge) | Pitcher-friendly park (factor 96.0) | Elite pitching matchup (avg ERA 2.77)
2026-04-20,Athletics @ Seattle Mariners,ML,Seattle Mariners ML,0.6127,LEAN,Recent: Athletics 4.0 RPG (43% W) | Seattle Mariners 3.9 RPG (43% W)
2026-04-20,Philadelphia Phillies @ Chicago Cubs,RL,Chicago Cubs -1.5,0.5882,LEAN,ML conf 66% | Projected margin 2.3 runs | Chicago Cubs 83% W last 10
2026-04-20,Baltimore Orioles @ Kansas City Royals,ML,Baltimore Orioles ML,0.5684,LEAN,Recent: Baltimore Orioles 4.4 RPG (29% W) | Kansas City Royals 2.8 RPG (0% W) | Line: Baltimore Orioles -114 | Kansas City Royals -64
2026-04-20,Toronto Blue Jays @ Los Angeles Angels,ML,Los Angeles Angels ML,0.567,LEAN,Recent: Toronto Blue Jays 4.3 RPG (33% W) | Los Angeles Angels 6.0 RPG (43% W)
2026-04-20,Houston Astros @ Cleveland Guardians,RL,Cleveland Guardians -1.5,0.5501,LEAN,ML conf 71% | Projected margin 1.4 runs
